Başlık,Alt başlık,Questions,Slug,PossibleAnswers,AnswerType,Score
Genel sağlık,Algılanan sağlık,Kendinizi ne kadar iyi ve zinde hissediyorsunuz?,perceived_health,"Hiç iyi hissetmiyorum 
Pek iyi hissetmiyorum
Ne iyi ne kötü
Oldukça iyi hissediyorum
Çok iyi ve zinde hissediyorum",SingleSelection,
Mental sağlık,Depresyon,Son 2 haftada yaptığınız işlerden keyif alamama veya isteksizlik durumunu ne sıklıkta yaşadınız?,depression_anhedonia,"Hiç yaşamadım 
Ara sıra 
Çoğu gün 
Neredeyse her gün ",SingleSelection,"* 3
* 2
* 1
* 0"
Mental sağlık,Depresyon,"Son 2 haftada kendinizi üzgün, çökkün ya da umutsuz hissetme durumunu ne sıklıkta yaşadınız?",depression_mood,"Hiç yaşamadım 
Ara sıra 
Çoğu gün 
Neredeyse her gün ",SingleSelection,"* 3
* 2
* 1
* 0"
Mental sağlık,Stres,"Geçen ay, kendinizi ne sıklıkla sinirli ve stresli hissettiniz?",stress_level_irritability,"Hiçbir zaman
Neredeyse hiçbir zaman
Bazen 
Oldukça sık
Çok sık",SingleSelection,"* 2
* 1.5
* 1
* 0.5
* 0"
Mental sağlık,Stres,"Geçen ay, hayatınızdaki önemli şeyleri kontrol edemediğinizi ne sıklıkta hissettiniz? ",stress_level_loc,"Hiçbir zaman
Neredeyse hiçbir zaman
Bazen 
Oldukça sık
Çok sık",SingleSelection,"* 2
* 1.5
* 1
* 0.5
* 0"
Mental sağlık,Sosyallik,Kendinizi ne sıklıkla yalnız hissediyorsunuz?,loneliness,"Hiçbir zaman
Nadiren
Ara sıra
Bazen
Sık sık / Her zaman",SingleSelection,"* 4
* 3
* 2
* 1
* 0"
Uyku ,Uyku ,Günde ortalama kaç saat uyuyorsunuz?,sleep_quality,"6 saatten az
6-7 saat
7-9 saat
9-10 saat
10 saatten fazla",SingleSelection,"* 0
* 6
* 12
* 6
* 0"
Aktivite,Egzersiz,Düzenli egzersiz yapıyor musunuz? ,activity_level,"Hiç yapmıyorum
Haftada 1 gün
Haftada 2–3 gün
Haftada 4–5 gün
Haftada 5 günden fazla",SingleSelection,"* 0
* 1.5
* 3
* 5
* 6"
Aktivite,Adım,Günlük ortalama kaç adım atıyorsunuz?,daily_steps,"2.500 adımdan az
2.500 - 5.000 adım
5.000 - 7.500 adım
7.500 -10.000 adım
10.000'dan fazla",SingleSelection,"* 0
* 1
* 3
* 5
* 6"
Fiziksel sağlık,Ağrı ,Son bir ayda herhangi bir günlük işinizi etkileyecek seviyede bedensel ağrınız oldu mu? ,physical_pain,"Hiç ağrım olmadı
Ağrım günlük işlerimi etkilemedi
Ağrım günlük işlerimi biraz etkiledi
Ağrım günlük işlerimi orta derecede etkiledi 
Ağrım günlük işlerimi belirgin şekilde etkiledi
Ağrım günlük işlerimi ciddi şekilde kısıtladı",SingleSelection,"* 12
* 10
* 6
* 4
* 2
* 0 "
Fiziksel sağlık,Boy,Boyunuzu (cm) öğrenebilir miyim?,height,,FreeFormat,
Fiziksel sağlık,Kilo,Kilonuzu (kg) öğrenebilir miyim?,weight,,FreeFormat,
Beslenme,Su,Geçtiğimiz bir hafta içinde günlük ortalama ne kadar su içtiniz?,water_intake,"1-2 bardak (200-400 ml)
3-4 bardak (600-800 ml)
5-6 bardak (1000-1200 ml)
7-8 bardak (1400-1600 ml)
8 bardaktan fazla (+1600 ml)",SingleSelection,
Beslenme,Sebze-meyve,"Günde ortalama kaç porsiyon meyve-sebze tüketiyorsunuz? (Meyve: 1 orta boy, 2 küçük, yarım büyük, 1 küçük kase küçük taneli veya 1 ince dilim karpuz-kavun; Sebze: 1 kase çiğ veya 3-4 kaşık pişmiş.)",fruit_veg_intake,"Günde 1 porsiyondan az veya hiç 
Günde 1-2 porsiyon
Günde 3 porsiyon
Günde 4 porsiyon
Günde 5 porsiyondan fazla



",SingleSelection,"* 0
* 2
* 4
* 5
* 6"
Beslenme,Şeker,"Haftada ne sıklıkta şekerli yiyecek veya içecek tüketiyorsunuz? (Tatlı, çikolata, bisküvi, kek, şekerli gazlı içecek, enerji içeceği, şekerli buzlu çay vb.)",sugar_intake,"Haftada 1 veya hiç
Haftada 2
Haftada 3
Haftada 4
Haftada 5 veya daha fazla",SingleSelection,"
* 3
* 2
* 1
* 0.5
* 0"
Beslenme,İşlenmiş gıda,"Haftada ne sıklıkta işlenmiş veya fast‑food türü yiyecek tüketiyorsunuz? (Hamburger, pizza, kızartmalar, hazır paketli vb.)",processed_food_intake,"Haftada1 veya hiç
Haftada 2
Haftada 3
Haftada 4
Haftada 5 veya daha fazla",SingleSelection,"
* 3
* 2
* 1
* 0.5
* 0"
Yaşam tarzı,Alkol ,"Son 1 ayı düşünerek, ortalama bir haftada toplam kaç kadeh (birim) içki içiyorsunuz?
(1 birim içki ≈ 🍺 330 ml bira, 🍷 100 ml şarap, 🥃 30 ml sert içki)",alcohol_consumption,"Hiç içmiyorum 
1–6 kadeh 
7–9 kadeh 
10–20 kadeh 
21–30 kadeh 
31–50 kadeh 
50+ kadeh ",SingleSelection,"* 12
* 10
* 8
* 5
* 3
* 1
* 0"
Yaşam tarzı,Sigara ,"Şu anda sigara, nargile ya da elektronik sigara kullanıyor musunuz?",smoking_status,"Hiç kullanmadım
Uzun zaman önce bıraktım 
Sosyal içiciyim, bazen kullanıyorum
Sık sık kullanıyorum
Her gün kullanıyorum",SingleSelection,"* 14
* 12
* 9
* 5
* 0"
Sağlık öyküsü,Vitamin,Düzenli olarak bir vitamin veya mineral takviyesi kullanıyor musunuz?,supplement_usage,"Hayır kullanmıyorum
Evet kullanıyorum",SingleSelection,
Sağlık öyküsü,Kronik hastalık ,Geçmişte veya şimdi yaşadığınız herhangi bir kronik durumunuz var mı? ,chronic_conditions,"Hayır yok
Diabet
Tiroid
Böbrek
Kalp
Obezite
Hipertansiyon
Kanser
Diğer",Multiselection,
