"source_file","insight_id","index","english_message","english_proof","turkish_message","turkish_score","categories","health_tags","demographic_tags","target_group_size","target_group_percentage","target_group_filters","target_group_total_population"
"HRA_data_report_insights.json","insight_01","1","Daily smoking creates catastrophic health outcomes far beyond typical wellness concerns. Over half of daily smokers (55.7%) already face high health risks, and when combined with depression, risk escalates dramatically—16.1% reach very high risk levels compared to just 0.8% of the general employee population. This represents a 13.93 standard deviation difference, indicating smoking + mental health issues create compounded vulnerabilities that urgently require integrated intervention. Companies should implement smoking cessation programs that explicitly address mental health, as these employees face 20x higher very high risk rates. Traditional smoking cessation alone may fail without concurrent mental health support. Prioritize this 62-employee segment for intensive, personalized coaching combining addiction support with psychological counseling.","Daily smokers: 327 employees (22.4%), 55.7% high risk vs 21.9% population (13.05σ, p < 0.001). Daily smokers + persistent sadness: n=62, 16.1% very high risk vs 0.8% population (13.93σ), 81.4% high risk. Risk ratio for very high risk: 20.1x baseline.","Günlük sigara içen çalışanların yarısından fazlası (%55,7) yüksek sağlık riski taşıyor ve bu oran genel popülasyonun 2,5 katı. En kritik bulgu ise sigara ve depresyon kombinasyonunda: günlük sigara içen ve sürekli üzüntü yaşayan 62 çalışanın %16,1'i çok yüksek risk kategorisinde (genel popülasyonda %0,8). Bu, normal popülasyona göre 20 kat daha yüksek risk anlamına geliyor. Şirketler, sigara bırakma programlarını mutlaka ruh sağlığı desteğiyle entegre etmeli—geleneksel yaklaşımlar bu grup için yetersiz kalacaktır. Bu 62 kişilik kritik segment, bağımlılık danışmanlığı ve psikolojik destek içeren yoğun, kişiselleştirilmiş müdahaleler için önceliklendirilmeli.","10","mental_health; lifestyle","daily_smoker; persistent_sadness","","62","4.26","A.smoking_status=daily_smoker; A.depression_mood=persistent_sadness","1457"
"HRA_data_report_insights.json","insight_02","2","Employees who never smoked and maintain positive mood represent your healthiest segment, with 59% achieving low risk status compared to just 12.8% company-wide. This 100-employee group demonstrates how behavioral and mental health factors combine for protection—they're 4.6x more likely to be low risk. Interestingly, this protective effect appears even stronger than the absence of chronic disease alone. Companies should study this population to understand what workplace conditions, support systems, or lifestyle factors enable their success. Use them as peer mentors in wellness programs, showcase their habits in internal communications, and investigate whether they share common work environments, managers, or benefits usage patterns that could be replicated.","Never smoked + positive mood: n=100, 59.0% low risk vs 12.8% population (12.89σ, p < 0.001). Risk ratio: 0.22x for high risk (protective). Never smoked + full interest/pleasure: n=87, 59.8% low risk. Both combinations show >46pp improvement over baseline.","Hiç sigara içmemiş ve olumlu ruh haline sahip 100 çalışan, şirketin en sağlıklı segmentini oluşturuyor: %59'u düşük risk kategorisinde (genel popülasyonda %12,8). Bu, 4,6 kat daha yüksek koruma faktörü anlamına geliyor. İlginç olan, bu koruyucu etkinin kronik hastalık yokluğundan bile daha güçlü görünmesi. Şirketler bu grubu başarı örneği olarak incelemeli: hangi çalışma koşulları, destek sistemleri veya yaşam tarzı faktörleri onların sağlıklı kalmasını sağlıyor? Bu çalışanları wellness programlarında akran mentoru olarak kullanın, alışkanlıklarını içsel iletişimde öne çıkarın ve ortak çalışma ortamları, yöneticiler veya yan hak kullanım paternleri olup olmadığını araştırarak bu başarıyı kopyalayın.","9","mental_health; lifestyle","never_smoked; positive_mood","","100","6.86","A.smoking_status=never_smoked; A.depression_mood=positive_mood","1457"
"HRA_data_report_insights.json","insight_03","3","Nutrition represents a near-universal gap in your workforce: 92.5% of employees report poor or very poor fruit and vegetable intake, with 53.1% in the ""very poor"" category. This isn't a high-risk subgroup—it's essentially everyone. The uniformity suggests systemic barriers rather than individual choices: lack of healthy food access near offices, insufficient time for meal preparation, or limited nutrition education. Rather than targeting specific employees, implement structural interventions: subsidize healthy meal delivery, create office fruit/vegetable programs, negotiate discounts with healthy food vendors, or provide meal prep workshops. The massive scale (1,348 employees) means even modest improvements in nutrition access could drive significant population health gains.","Fruit/vegetable intake: very poor 53.1% (n=774), poor 39.4% (n=574), total poor nutrition 92.5% (n=1,348). Only 5.8% adequate, 1.4% good, 0.3% excellent. Diversity score 0.588 indicates high concentration in poor categories, suggesting systemic rather than individual factors.","Beslenme, işgücünüzde neredeyse evrensel bir açık: çalışanların %92,5'i kötü veya çok kötü meyve-sebze tüketimi bildiriyor ve %53,1'i ""çok kötü"" kategorisinde (1.348 çalışan). Bu riskli bir alt grup değil—neredeyse herkes. Bu tekdüzelik, bireysel tercihlerden ziyade sistemik engelleri işaret ediyor: ofis yakınında sağlıklı gıda erişimi eksikliği, yemek hazırlama için yetersiz zaman veya beslenme eğitimi eksikliği. Belirli çalışanları hedeflemek yerine yapısal müdahaleler uygulayın: sağlıklı yemek teslimatını sübvanse edin, ofis meyve-sebze programları oluşturun, sağlıklı gıda tedarikçileriyle indirim anlaşmaları yapın veya yemek hazırlama atölyeleri sağlayın. Büyük ölçek, beslenme erişimindeki mütevazi iyileştirmelerin bile önemli popülasyon sağlığı kazançları sağlayabileceği anlamına geliyor.","8","nutrition","very_poor_nutrition; poor_nutrition","","1348","92.52","A.fruit_veg_intake IN (very_poor_nutrition OR poor_nutrition)","1457"
"HRA_data_report_insights.json","insight_04","4","Excessive sleep (9+ hours) affects only 25 employees but carries extreme health risks: 64% high risk and 84% elevated risk overall—nearly triple the population baseline. This small segment shows 2.92x risk amplification, similar to extreme pain levels. Excessive sleep often signals underlying depression, sleep disorders, or chronic fatigue rather than restfulness, and frequently co-occurs with severe anhedonia (27.3% very high risk when combined). Create an immediate outreach program for these 25 employees. Excessive sleep is a clinical red flag requiring medical evaluation for sleep apnea, depression, thyroid issues, or other conditions. Partner with occupational health to offer sleep studies and endocrinology consultations. This targeted intervention addresses <2% of your workforce but could prevent serious health deterioration.","Excessive sleep: n=25 (1.7%), 64.0% high risk vs 21.9% population (2.92x ratio). Elevated risk 84.0%. Excessive sleep + severe anhedonia: n=11, 27.3% very high risk vs 0.8% population (10.12σ). Excessive sleep + persistent sadness: n=13, 23.1% very high risk (9.26σ). Strong signal despite small sample.","Aşırı uyku (günde 9+ saat) sadece 25 çalışanı etkiliyor ancak aşırı sağlık riskleri taşıyor: %64'ü yüksek risk ve genel olarak %84'ü yükseksek risk—popülasyon bazının neredeyse üç katı. Bu küçük segment 2,92 kat risk amplifikasyonu gösteriyor, aşırı ağrı seviyelerine benzer. Aşırı uyku genellikle dinlenmeyi değil, altta yatan depresyon, uyku bozuklukları veya kronik yorgunluk sinyali veriyor ve sıklıkla şiddetli motivasyon kaybıyla birlikte görülüyor (birlikte %27,3 çok yüksek risk). Bu 25 çalışan için acil bir yönlendirme programı oluşturun. Aşırı uyku, uyku apnesi, depresyon, tiroid sorunları veya diğer durumlar için tıbbi değerlendirme gerektiren klinik bir uyarı işaretidir. Uyku çalışmaları ve endokrinoloji konsültasyonları sunmak için işyeri sağlığıyla ortaklık kurun. Bu hedefli müdahale, işgücünüzün %2'sinden azını ele alıyor ancak ciddi sağlık bozulmasını önleyebilir.","9","sleep; mental_health","excessive_sleep; severe_anhedonia","","11","0.75","A.sleep_quality=excessive_sleep; A.depression_anhedonia=severe_anhedonia","1457"
"HRA_data_report_insights.json","insight_05","5","Half your workforce (49.6%, n=723) reports no structured exercise, and an additional 32.4% take fewer than 5,000 daily steps—together representing 82% of employees in sedentary patterns. Yet daily exercisers show remarkable health outcomes: 0% high risk compared to 21.9% population-wide. The protective effect is absolute within this 49-employee group, suggesting exercise may be your single most powerful modifiable health factor. Launch tiered intervention programs: for the 723 non-exercisers, start with low-barrier activities like walking meetings or subsidized gym memberships. For the 385 very-low-step employees, implement step challenges with team-based incentives. The scale demands creative solutions—experiment with standing desks, activity breaks, or flexible hours for exercise. Even moving 10% of sedentary employees to moderate activity could significantly reduce your high-risk population.","No exercise: 49.6% (n=723). Very low steps (<5,000): 26.4% (n=385). Combined sedentary: 82% of workforce. Daily exercise: n=49 (3.4%), 0% high risk vs 21.9% population (infinite protection factor). Regular/frequent/daily exercise combined: n=484 (33.2%), shows protective effects across all levels.","İşgücünüzün yarısı (%49,6, n=723) yapılandırılmış egzersiz yapmıyor ve ek olarak %32,4'ü günde 5.000'den az adım atıyor—birlikte çalışanların %82'si hareketsiz paternlerde. Ancak günlük egzersiz yapanlar dikkat çekici sağlık sonuçları gösteriyor: %0 yüksek risk, popülasyon genelinde %21,9'a karşı. Koruyucu etki bu 49 kişilik grup içinde mutlak, egzersizin değiştirilebilir en güçlü tek sağlık faktörünüz olabileceğini gösteriyor. Kademeli müdahale programları başlatın: 723 egzersiz yapmayan için yürüyüş toplantıları veya sübvansiyonlu spor salonu üyelikleri gibi düşük engelli faaliyetlerle başlayın. 385 çok düşük adımlı çalışan için, takım bazlı teşviklerle adım yarışmaları uygulayın. Ölçek yaratıcı çözümler gerektiriyor—ayakta çalışma masaları, aktivite molaları veya egzersiz için esnek saatlerle denemeler yapın. Hareketsiz çalışanların sadece %10'unu orta aktiviteye taşımak bile yüksek riskli popülasyonunuzu önemli ölçüde azaltabilir.","9","activity_level","no_exercise; very_low_steps; daily_exercise","","284","19.49","A.activity_level IN (no_exercise OR daily_exercise); A.daily_steps=very_low_steps","1457"
"HRA_data_report_insights.json","insight_06","6","Depression and loneliness cluster together powerfully (Cramer's V = 0.35, p < 0.001), revealing how mental health challenges compound. Among employees reporting persistent sadness, 66% also feel always lonely—nearly triple the 24% population rate. Among those with severe motivasyon issues, 69% report constant loneliness. This isn't coincidence—these conditions reinforce each other in a cycle where social isolation worsens mood, and low mood drives withdrawal. Mental health programs must address social connection alongside psychological support. Implement structured social opportunities: team-building activities, employee resource groups, mentorship programs, or co-working spaces that encourage organic interaction. Screen for loneliness when employees present with mood concerns, and vice versa. Breaking the isolation-depression cycle requires treating both dimensions simultaneously rather than addressing mental health in isolation.","Depression-loneliness correlation: χ² significant, Cramer's V = 0.35. Persistent sadness group: 66% always lonely vs 24% population. Severe anhedonia group: 69% always lonely vs 24% population. Frequent sadness: 37% always lonely, 23% often lonely. Overall loneliness prevalence: 24% always, 17.8% often, 21.9% sometimes (63.7% experience regular loneliness).","Depresyon ve yalnızlık güçlü bir şekilde kümeleniyor (Cramer's V = 0,35, p < 0,001), ruh sağlığı zorluklarının nasıl birleştiğini ortaya koyuyor. Sürekli üzüntü bildiren çalışanlar arasında %66'sı her zaman yalnız hissediyor—%24 popülasyon oranının neredeyse üç katı. Şiddetli motivasyon sorunu yaşayanlar arasında %69'u sürekli yalnızlık bildiriyor. Bu tesadüf değil—bu durumlar sosyal izolasyonun ruh halini kötüleştirdiği ve düşük ruh halinin geri çekilmeyi tetiklediği bir döngüde birbirini güçlendiriyor. Ruh sağlığı programları, psikolojik desteğin yanı sıra sosyal bağlantıyı da ele almalı. Yapılandırılmış sosyal fırsatlar uygulayın: takım oluşturma aktiviteleri, çalışan kaynak grupları, mentorluk programları veya organik etkileşimi teşvik eden ortak çalışma alanları. Çalışanlar ruh hali endişeleriyle başvurduğunda yalnızlık için tarama yapın ve bunun tersi de geçerli. İzolasyon-depresyon döngüsünü kırmak, ruh sağlığını izole bir şekilde ele almak yerine her iki boyutu eşzamanlı olarak tedavi etmeyi gerektirir.","8","mental_health","persistent_sadness; always_lonely; severe_anhedonia","","93","6.38","A.depression_mood=persistent_sadness; A.loneliness=always_lonely; A.depression_anhedonia=severe_anhedonia","1457"
"HRA_data_report_insights.json","insight_07","7","Underweight employees (BMI <18.5, n=88) show surprisingly high health risks with a 1.91x risk ratio, similar to obese employees despite conventional wisdom treating low weight as healthy. This 6.1% segment faces elevated risks often overlooked in wellness programs that focus primarily on overweight/obesity. The risk likely stems from inadequate nutrition, underlying chronic illness, high stress, or eating disorders rather than genetic predisposition to thinness. Expand wellness screening to explicitly include underweight employees. Train occupational health staff to recognize that low BMI can signal serious health concerns requiring medical evaluation for malnutrition, hyperthyroidism, gastrointestinal disorders, or eating disorders. Avoid ""healthy weight"" messaging that inadvertently celebrates extreme leanness. Nutrition programs should address both ends of the weight spectrum, offering support for healthy weight gain alongside weight loss resources.","Underweight employees: n=88 (6.1% of population), risk ratio 1.91x for high-risk category. Obese employees show 1.95x risk ratio—nearly identical despite opposite weight extremes. Normal weight: 49.4% (n=717), 0.51x risk ratio (protective). BMI category × health risk: χ² = 178.64, p < 0.001, Cramer's V = 0.203 (strong effect).","Düşük kilolu çalışanlar (BMI <18,5, n=88) şaşırtıcı derecede yüksek sağlık riskleri gösteriyor, 1,91 kat risk oranıyla—düşük kilonun sağlıklı olduğunu varsayan geleneksel bilgeliğe rağmen obez çalışanlara benzer. Bu %6,1'lik segment, öncelikle fazla kilo/obeziteye odaklanan wellness programlarında genellikle gözden kaçan yüksek risklerle karşı karşıya. Risk muhtemelen genetik incelik eğiliminden ziyade yetersiz beslenme, altta yatan kronik hastalık, yüksek stres veya yeme bozukluklarından kaynaklanıyor. Wellness taramasını açıkça düşük kilolu çalışanları kapsayacak şekilde genişletin. İşyeri sağlığı personelini, düşük BMI'nin malnütrisyon, hipertiroidi, gastrointestinal bozukluklar veya yeme bozuklukları için tıbbi değerlendirme gerektiren ciddi sağlık endişelerini işaret edebileceğini fark etmek için eğitin. İstemeden aşırı zayıflığı kutlayan ""sağlıklı kilo"" mesajlarından kaçının. Beslenme programları, kilo kaybı kaynaklarının yanı sıra sağlıklı kilo alma desteği sunarak kilo spektrumunun her iki ucunu da ele almalı.","8","physical_health; nutrition","","underweight","88","6.04","bmi_category=underweight","1457"
"HRA_data_report_insights.json","insight_08","8","Only 11.1% of employees report full interest and pleasure in activities, while 53% show mild and 24.3% moderate loss of interest—a total of 88.9% experiencing some degree of anhedonia. This is a striking mental health signal often overlooked because it's subtler than obvious sadness or stress. Anhedonia predicts disengagement, reduced productivity, and burnout even when employees aren't clinically depressed, and it strongly correlates with very high health risk when severe (2.40x baseline). Screen for engagement and motivation systematically, not just during performance reviews. Anhedonia often manifests as reduced work enthusiasm, missed social events, or declining participation in previously enjoyed activities. Implement ""pulse"" surveys asking about interest and motivation levels. Offer coaching focused on rediscovering meaning and purpose, not just stress management. Consider whether workplace culture inadvertently contributes—excessive workload, lack of autonomy, or insufficient recognition can all erode intrinsic motivation over time.","Interest/pleasure levels: full interest 11.1% (n=162), mild loss 53.0% (n=772), moderate loss 24.3% (n=354), severe loss 11.6% (n=169). Total experiencing anhedonia: 88.9% (n=1,295). Severe anhedonia shows 2.40x risk amplification with 95.3% elevated risk rate. Anhedonia × loneliness: severe anhedonia = 69% always lonely vs 24% population.","Çalışanların sadece %11,1'i aktivitelerde tam ilgi ve zevk bildiriyor, %53'ü hafif ve %24,3'ü orta derece ilgi kaybı gösteriyor—toplam %88,9'u bir dereceye kadar motivasyon kaybı yaşıyor. Bu, genellikle gözden kaçan çarpıcı bir ruh sağlığı sinyali çünkü belirgin üzüntü veya stresten daha ince. Motivasyon kaybı, çalışanlar klinik olarak depresif olmasa bile, bağlılık azalması, üretkenlik düşüşü ve tükenmişliği öngörüyor ve şiddetli olduğunda çok yüksek sağlık riskiyle güçlü bir şekilde ilişkili (2,40 kat bazlık). Bağlılık ve motivasyonu sistematik olarak tarayın, sadece performans değerlendirmeleri sırasında değil. Motivasyon kaybı genellikle azalan iş coşkusu, kaçırılan sosyal etkinlikler veya daha önce keyif alınan aktivitelere katılımda düşüş olarak kendini gösterir. İlgi ve motivasyon seviyeleri hakkında soran ""nabız"" anketleri uygulayın. Sadece stres yönetimi değil, anlam ve amaç yeniden keşfetmeye odaklanan koçluk sunun. İşyeri kültürünün istemeden katkıda bulunup bulunmadığını düşünün—aşırı iş yükü, özerklik eksikliği veya yetersiz tanınma, zamanla içsel motivasyonu aşındırabilir.","7","mental_health","full_interest_pleasure; mild_anhedonia; moderate_anhedonia; severe_anhedonia","","1457","100.0","A.depression_anhedonia IN (full_interest_pleasure OR mild_anhedonia OR moderate_anhedonia OR severe_anhedonia)","1457"
"HRA_data_report_insights.json","insight_09","9","Physical pain affects nearly two-thirds of employees (63.2% report some level of pain), yet only 26.3% are pain-free. Extreme pain, while affecting just 33 employees (2.3%), carries massive health implications: 2.77x risk amplification and 84.8% elevated risk rate—comparable to daily smoking. Moderate-to-extreme pain (17.1% of workforce, n=248) likely reduces physical activity, disrupts sleep, and contributes to stress and mood problems, creating cascading health deterioration. Pain management should be a primary occupational health focus. Assess whether workplace ergonomics, physical job demands, or inadequate equipment contribute to pain prevalence. Offer ergonomic assessments, standing desk options, physical therapy access, and chronic pain management programs. For the 33 extreme pain employees, immediate case management is essential—chronic severe pain often indicates treatable conditions being inadequately managed, and these employees are likely experiencing significant productivity loss and quality of life impairment alongside health risks.","Pain distribution: no pain 26.3% (n=383), minimal 36.9% (n=538), mild 19.8% (n=288), moderate 9.0% (n=131), severe 5.8% (n=84), extreme 2.3% (n=33). Total with pain: 73.7%. Extreme pain: 2.77x risk amplification, 84.8% elevated risk (comparable to excessive sleep at 2.92x). Moderate+ pain: 17.1% of workforce (n=248).","Fiziksel ağrı, çalışanların neredeyse üçte ikisini etkiliyor (%63,2 bir düzeyde ağrı bildiriyor), ancak sadece %26,3'ü ağrısız. Aşırı ağrı sadece 33 çalışanı (%2,3) etkilerken büyük sağlık etkileri taşıyor: 2,77 kat risk amplifikasyonu ve %84,8 yüksek risk oranı—günlük sigaraya eşdeğer. Orta-aşırı ağrı (işgücünün %17,1'i, n=248) muhtemelen fiziksel aktiviteyi azaltıyor, uykuyu bozuyor ve stres ve ruh hali sorunlarına katkıda bulunarak basamaklı sağlık bozulması yaratıyor. Ağrı yönetimi, birincil işyeri sağlığı odak noktası olmalı. İşyeri ergonomisinin, fiziksel iş taleplerinin veya yetersiz ekipmanın ağrı yaygınlığına katkıda bulunup bulunmadığını değerlendirin. Ergonomik değerlendirmeler, ayakta masa seçenekleri, fizik tedavi erişimi ve kronik ağrı yönetimi programları sunun. 33 aşırı ağrılı çalışan için acil vaka yönetimi şart—kronik şiddetli ağrı genellikle yetersiz yönetilen tedavi edilebilir durumları gösterir ve bu çalışanlar muhtemelen sağlık risklerinin yanı sıra önemli üretkenlik kaybı ve yaşam kalitesi bozulması yaşıyorlar.","8","physical_health","no_pain; minimal_pain; mild_pain; moderate_pain; severe_pain; extreme_pain","","1457","100.0","A.physical_pain IN (no_pain OR minimal_pain OR mild_pain OR moderate_pain OR severe_pain OR extreme_pain)","1457"
"HRA_data_report_insights.json","insight_10","10","High-risk employees show dramatically different behavior patterns: 75.8% never exercise (vs 49.6% population), 58.5% smoke daily (vs 22.4% population), and 34.2% have insufficient sleep (vs 15.9% population). These aren't independent choices—they cluster within the same 330 individuals, suggesting a ""multiple risk factor"" syndrome where stress, poor coping mechanisms, and health neglect reinforce each other. Single-issue wellness programs may fail because addressing only smoking or exercise leaves underlying patterns intact. Design holistic interventions for the high-risk segment that acknowledge multiple behaviors stem from common causes like stress, time poverty, or health fatalism. Pilot a comprehensive case management program for willing high-risk employees combining behavioral health coaching, practical time management support, stress reduction, and progressive lifestyle changes. Track whether integrated approaches produce better outcomes than siloed programs offering smoking cessation, fitness challenges, and stress workshops separately.","High-risk employees: n=330 (22.6%). Behavior clustering: 75.8% no exercise vs 49.6% population, 58.5% daily smoker vs 22.4% population, 34.2% insufficient sleep vs 15.9% population, 37.9% very low steps vs 26.4% population. Risk behaviors concentrate in same individuals rather than distributing randomly across population.","Yüksek riskli çalışanlar dramatik şekilde farklı davranış paternleri gösteriyor: %75,8'i asla egzersiz yapmıyor (popülasyonda %49,6), %58,5'i günlük sigara içiyor (popülasyonda %22,4) ve %34,2'si yetersiz uykuya sahip (popülasyonda %15,9). Bunlar bağımsız tercihler değil—aynı 330 birey içinde kümeleniyorlar, stresin, zayıf başa çıkma mekanizmalarının ve sağlık ihmalinin birbirini güçlendirdiği bir ""çoklu risk faktörü"" sendromunu gösteriyor. Tek konulu wellness programları başarısız olabilir çünkü sadece sigarayı veya egzersizi ele almak altta yatan paternleri sağlam bırakır. Yüksek riskli segment için, stres, zaman yoksulluğu veya sağlık fatalizmi gibi ortak nedenlerden kaynaklanan çoklu davranışları kabul eden bütünsel müdahaleler tasarlayın. İstekli yüksek riskli çalışanlar için davranışsal sağlık koçluğu, pratik zaman yönetimi desteği, stres azaltma ve ilerici yaşam tarzı değişikliklerini birleştiren kapsamlı bir vaka yönetimi programı pilot uygulayın. Entegre yaklaşımların, sigara bırakma, fitness yarışmaları ve stres atölyeleri ayrı ayrı sunan silolu programlardan daha iyi sonuçlar üretip üretmediğini izleyin.","9","lifestyle; activity_level; sleep","daily_smoker; no_exercise; insufficient_sleep","","37","2.54","A.smoking_status=daily_smoker; A.activity_level=no_exercise; A.sleep_quality=insufficient_sleep","1457"
